VP ISC|Purchasing Analytics%%%FusionOps Unfavorable PPV Analysis%%%Not Set|Purchasing Analytics%%%FusionOps Unfavorable PPV Analysis%%%Not Set|Production Order%%%FusionOps WIP Aging Aging%%%Not Set|Production Order%%%FusionOps WIP Aging Aging%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|2012-12-13
Demand Manager|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set||||2012-12-14
Sr. IT Manager|Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Sales Analysis%%%FusionOps  Lead-time Analysis%%%Not Set|Sales Analysis%%%FusionOps  Lead-time Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|2012-12-14
Materials Manager|Shipment Analysis%%%Sales Order Items With Below 100% OTIF%%%Not Set|Sales Analysis%%%Fill Rate Trends %%%Not Set|Sales Analysis%%%Fill Rate By Order Type%%%Not Set|Purchasing Analytics%%%PPV Quarterly Trends%%%Not Set|Purchasing Analytics%%%% Qty On-Time %%%Not Set|Sales Analysis%%%Fill Rate By Order Type%%%Not Set|2012-12-18
Demand Manager|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|||2012-12-19
Materials Manager|Purchasing Analytics%%%Supplier Delivery Performance%%%Not Set|Sales Analysis%%%DIFOT Development Sales Order Items%%%Not Set|Purchasing Analytics%%%Supplier Delivery Performance%%%Not Set|Purchasing Analytics%%%Supplier Delivery Performance%%%Not Set|Sales Analysis%%%Fill Rate Snapshot%%%Not Set|Sales Analysis%%%DIFOT Development Sales Order Items%%%Not Set|2012-12-19
VP ISC|MRP Analytics%%%FusionOps Current Expedite Requests%%%Not Set||||Stock Analytics%%%FusionOps  Inventory Aging%%%Not Set|Sales Analysis%%%FusionOps  Past Due Backlog%%%Not Set|2012-12-19
VP ISC|MRP Analytics%%%FusionOps Active MRP Exceptions%%%Not Set||||Stock Analytics%%%FusionOps  Inventory Aging%%%Not Set|Sales Analysis%%%FusionOps  Past Due Backlog%%%Not Set|2012-12-19
VP ISC|MRP Analytics%%%FusionOps Current Defer Requests%%%Not Set||||Stock Analytics%%%FusionOps  Inventory Aging%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|2012-12-19
VP ISC|MRP Analytics%%%FusionOps Current Cancel Requests%%%Not Set||||Stock Analytics%%%FusionOps  Inventory Aging%%%Not Set|Sales Analysis%%%FusionOps  Past Due Backlog%%%Not Set|2012-12-19
Demand Manager|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Planned Order%%%FusionOps Planned Order Distribution by MRP Controllers%%%Not Set|||||2012-12-20
Materials Manager|Stock Summary%%%Projected Excess Inventory for Top Parts By Amount%%%Not Set||||MRP Analytics%%%Current Cancel Requests%%%Not Set|Stock Analytics%%%Inventory Aging By Product Hierarchy%%%Not Set|2012-12-20
Materials Manager|MRP Analytics%%%Current Cancel Requests%%%Not Set||||MRP Analytics%%%Current Cancel Requests%%%Not Set|Stock Analytics%%%Inventory Aging By Product Hierarchy%%%Not Set|2012-12-20
Materials Manager|Excess and Shortage Analytics%%%Revenue at Risk Due to Shortages%%%Not Set||||MRP Analytics%%%Current Cancel Requests%%%Not Set|Stock Analytics%%%Average Inventory Aging Days%%%Not Set|2012-12-20
Materials Manager|Excess and Shortage Analytics%%%Shortage by Part Report%%%Not Set||||MRP Analytics%%%Current Cancel Requests%%%Not Set|Stock Analytics%%%Inventory Aging By Product Hierarchy%%%Not Set|2012-12-20
Sr. IT Manager|Sales Analysis%%%FusionOps  Lead-time Analysis%%%Not Set|Sales Analysis%%%FusionOps  Lead-time Analysis%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set||2012-12-20
Demand Manager|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Past Due Backlog%%%Not Set|Sales Analysis%%%FusionOps  Past Due Backlog%%%Not Set|Sales Analysis%%%FusionOps  Past Due Backlog%%%Not Set|Sales Analysis%%%FusionOps  Past Due Backlog%%%Not Set|Sales Analysis%%%FusionOps  Past Due Backlog%%%Not Set|2012-12-21
BI Developer|Purchasing Analytics%%%Supplier Delivery Performance Report%%%Not Set|Material Spend Analytics%%%Material Spend Analysis%%%Not Set|Material Spend Analytics%%%Material Spend Analysis%%%Not Set|Sales Analysis%%%Fill Rate By Customer %%%Not Set|Sales Analysis%%%Fill Rate By Customer %%%Not Set|Material Spend Analytics%%%Material Spend Analysis%%%Not Set|2012-12-26
Sr. IT Manager|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|||||2013-01-03
Supply Chain Coordinator|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Purchasing Analytics%%%Open Orders Report%%%Not Set|Purchasing Analytics%%%Open Orders Report%%%Not Set|Purchasing Analytics%%%Open Orders Report%%%Not Set|2013-01-03
VP ISC|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Sales Analysis%%%FusionOps  Lead-time Analysis%%%Not Set|MRP Analytics%%%FusionOps Current Expedite Report%%%Not Set||Stock Analytics%%%FusionOps  Inventory Aging%%%Not Set|2013-01-03
Sr. IT Manager|Shipment Analysis%%%FusionOps  OTIF Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|2013-01-04
Supply Chain Coordinator|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Past Due Backlog%%%Not Set|||2013-01-04
BI Developer|Not Set%%%Not Set%%%Not Set|Not Set%%%Not Set%%%Not Set|Not Set%%%Not Set%%%Not Set|Not Set%%%Not Set%%%Not Set|Not Set%%%Not Set%%%Not Set|Not Set%%%Not Set%%%Not Set|2013-01-09
Demand Manager|Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|Sales Analysis%%%FusionOps  Order Analysis%%%Not Set|2013-01-18
Sr. IT Manager|Inventory Turns Analytics%%%FusionOps  Finished Goods Inventory Turnover%%%Not Set||Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Inventory Turns Analytics%%%FusionOps  Finished Goods Inventory Turnover%%%Not Set||Inventory Turns Analytics%%%FusionOps  - Semi Finished Inventory Turns%%%Not Set|2013-01-18
Sr. IT Manager|Inventory Turns Analytics%%%FusionOps  - Semi Finished Inventory Turns%%%Not Set||Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Inventory Turns Analytics%%%FusionOps  - Semi Finished Inventory Turns%%%Not Set||Inventory Turns Analytics%%%FusionOps  - Semi Finished Inventory Turns%%%Not Set|2013-01-18
BI Developer|Purchasing Analytics%%%Key Counts Analysis%%%Not Set|Purchasing Analytics%%%Key Counts Analysis%%%Not Set|Purchasing Analytics%%%Key Counts Analysis%%%Not Set|Purchasing Analytics%%%Open Orders Report%%%Not Set|Purchasing Analytics%%%Open Orders Report%%%Not Set|Sales Analysis%%%Fill Rate By Customer %%%Not Set|2013-01-28
BI Developer|Material Spend Analytics%%%Material Spend Analysis%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set||||2013-01-31
BI Developer|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Past Due Backlog%%%Not Set|||||2013-02-01
Sr. IT Manager|Sales Analysis%%%FusionOps  Shipment Analysis Next 3 Days%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Sales Analysis%%%FusionOps  Lead-time Analysis%%%Not Set|2013-02-05
BI Developer|Purchasing Analytics%%%Past Due Detail Report%%%Not Set||Purchasing Analytics%%%Supplier Open Orders Report%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Planned Order%%%Planned Order Outlook - Next 30 Days%%%Not Set|2013-02-08
BI Developer|MRP Analytics%%%Expedite Details%%%Not Set||Purchasing Analytics%%%Supplier Open Orders Report%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Sales Analysis%%%FusionOps  Backlog%%%Not Set|Planned Order%%%Planned Order Outlook - Next 30 Days%%%Not Set|2013-02-08
Senior BI/BO Technical Analyst|MRP Analytics%%%Expedite Details%%%Not Set||Purchasing Analytics%%%Supplier Open Orders Report%%%Not Set|Stock Analytics%%%FusionOps Current Stock Value%%%Not Set|Production Order%%%Production Orders - Future Releases %%%Not Set||2013-02-08
Senior BI/BO Technical Analyst|Purchasing Analytics%%%Past Due Detail Report%%%Not Set||Purchasing Analytics%%%Supplier Open Orders Report%%%Not Set|Stock Analytics%%%FusionOps Current Stock Value%%%Not Set|Production Order%%%Production Orders%%%Not Set||2013-02-08
mASTER dATA aNALYST|Stock Analytics%%%Stock Report%%%Not Set|Stock Analytics%%%Stock Report%%%Not Set|Sales Analysis%%%Order Rejects by Reason%%%Not Set|Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Sales Analysis%%%FusionOps  - Fill Rate Analysis%%%Not Set|Production Order%%%Monthly Production Processing Quantities%%%Not Set|2013-02-08
Senior BI/BO Technical Analyst|Sales Analysis%%%POC - Daily Shipment Report (Sales View)%%%Not Set||||||2013-02-12
Supply Chain Coordinator|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|||||2013-02-12
Supply Chain Coordinator|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|2013-02-14
Supply Chain Coordinator|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|Sales Analysis%%%POC - Open Orders Report - Issue%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|Sales Analysis%%%POC - Open Orders Report - Issue%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set|2013-02-15
Supply Chain Coordinator|Shipment Analysis%%%POC - Shipment Analysis%%%Not Set||Sales Analysis%%%POC - Daily Shipment Report (Sales View)%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set||Sales Analysis%%%POC - Open Orders Report - Issue%%%Not Set|2013-02-19
Supply Chain Coordinator|Sales Analysis%%%POC - Daily Shipment Report (Sales View)%%%Not Set||Sales Analysis%%%POC - Daily Shipment Report (Sales View)%%%Not Set|Sales Analysis%%%POC - Daily Sales Report%%%Not Set||Sales Analysis%%%POC - Open Orders Report - Issue%%%Not Set|2013-02-19
